,loc,id,dob,dot,age_y,age_m,sex,language,bilingual,video1,video2,contact,videos,aka,expr,cond,excl,notes,have_csv,missing_trials,,
20240713_FL1,FL,1,2020-05-08,2024-07-13,4y 2m,50.16666667,F,English,Russian,Y,Y,Y,1,FL-A-01,VT,CAT,,,,,,
20240713_FL2,FL,2,2020-06-15,2024-07-13,4y 0m,48.93333333,M,English,N,Y,N,Y,2,FL-LC-02,VT,CAT,,went to bathroom halfway through,,,,
20240713_FL3,FL,3,2020-12-27,2024-07-13,3y 6m,42.53333333,M,English,Spanish,Y,Y,Y,0,FL-R-03,VT,na,,,,,,
20240713_FL4,FL,4,2019-06-01,2024-07-13,5y 1m,61.4,M,English,N,N,N,N,0,FL-JS-04,VT,CAT,,,,,,
20240713_FL5,FL,5,2019-09-09,2024-07-13,4y 10m,58.13333333,F,English,N,Y,Y,Y,1,FL-W-05,VT,CAT,,,,,,
20240713_FL6,FL,6,2019-01-29,2024-07-13,5y 5m,65.46666667,M,Chinese,English,Y,Y,na,1,FL-AS-06,VT,CAT,,,,,,
20240713_FL7,FL,7,2019-04-01,2024-07-13,5y 3m,63.4,F,English,na,Y,Y,N,1,FL-EM-07,VT,CAT,,,,,,
20240716_FL1,FL,1,2019-05-08,2024-07-16,5y 2 m,62,F,English,N,Y,N,Y,1,FL-L-01,RA,CAT,,"no handwritten notes, but yes video",,,,annotate video
20240716_FL2,FL,2,2021-02-05,2024-07-16,3y  5m,41,M,English,N,Y,Y,Y,0,FL-E-02,LM or RA,CAT,,,,,,
20240716_FL3,FL,3,2019-01-31,2024-07-16,4y 6m,54,M,English,N,Y,Y,N,1,FL-J-03,LM,CAT,,handwritten notes-now digitized,yes,,,annotate video AND/OR digitize from notes
20240716_FL4,FL,4,2021-05-29,2024-07-16,3y 1m,37.56666667,M,English,Y,N,N,Y,0,FL-AL-04,LM,CAT,,handwritten notes-now digitized,yes,zogi2 zozo2,,digitize from notes
20240716_FL5,FL,5,2020-10-16,2024-07-16,3y 9m,45,M,English,N,Y,N,N,1,FL-NN-05,RA,CAT,,practice annotation on 8/Aug,,,,
20240717_FL1,FL,1,2021-11-02,2024-07-17,2y 8m,32.5,F,English,Spanish,Y,N,N,1,FL-CS-01,VT,CAT,,"marked in CSV as AND, but not intended to be",,,,
20240717_FL2,FL,2,2021-03-15,2024-07-17,3y 4m,40.06666667,M,English,N,Y,Y,N,1,FL-CT-02,RA,CAT,,"marked in CSV as AND, but not intended to be",,zogi2; make_zo; zozo2,,
20240717_FL3,FL,3,2019-09-05,2024-07-17,4y 10m,58.4,F,English,N,Y,Y,N,1,FL-IT-03,VT,AND,,,,,,
20240720_FL1,FL,1,2020-06-12,2024-07-20,4y 1m,49.26666667,M,Chinese,English,Y,Y,N,1,FL-JY-01,VT,AND,,,,,,
20240720_FL2,FL,2,2018-09-09,2024-07-20,5y 10m,70.36666667,M,English,N,N,N,N,0,FL-A-02,LM,AND,,digitized from handwritten notes,,,,
20240720_FL3,FL,3,2021-09-17,2024-07-20,2y 10m,34.1,F,English,N,Y,Y,N,1,FL-S-03,VT,AND,E,frequent parent interruptions,,,,
20240720_FL4,FL,4,2019-04-19,2024-07-20,5y 3m,63.03333333,F,English,N,Y,Y,N,1,FL-A-04,LM,CAT,,,,,,
20240720_FL5,FL,5,2019-12-10,2024-07-20,4y 7m,55.33333333,M,English,N,N,N,N,0,FL-N-05,VT,CAT,,might be - condition,,,,
20240720_FL6,FL,6,2019-06-17,2024-07-20,5y 1m,61.1,F,English,N,Y,N,Y,1,FL-C-06,VT,CAT,,,,,,annotate video
20240720_FL7,FL,7,2020-09-11,2024-07-20,3y 10m,46.3,F,English,N,Y,Y,N,1,FL-ES-07,LM,CAT,,practice annotation on 8/Aug,,,,
20240723_FL1,FL,1,2020-11-22,2024-07-23,3y 8m,44.03333333,M,English,Spanish,N,N,N,0,FL-A-01,LM,idk,Q,Quit,,,,
20240723_FL2,FL,2,2024-02-14,2024-07-23,0y 5m,5.3,M,English,N,N,N,N,0,FL-ES-02,LM,idk,Q,Quit,,,,
20240723_FL3,FL,3,2019-03-31,2024-07-23,5y 3m,63.76666667,M,English,N,Y,Y,Y,1,FL-W-03,LM,AND,,,,zozo3; zogi3,,
20240723_BB1,BB,1,2020-01-29,2024-07-23,4y 5m,53.8,M,English,N,Y,Y,Y,0,BB-S-15,GM,CAT,,,FALSE,,,
20240723_BB2,BB,2,2021-07-02,2024-07-23,3y 0m,36.7,F,English,N,N,N,Y,0,BB-GVG-16,GM,CAT,,,FALSE,,,
20240723_BB3,BB,3,2020-04-02,2024-07-23,4y 3m,51.7,F,English,N,N,N,Y,0,BB-MVG-17,GM,CAT,,,FALSE,,,
20240723_BB4,BB,4,2021-01-19,2024-07-23,3y 6m,42.13333333,F,English,N,Y,N,N,0,BB-JC-07,GM,CAT,,,FALSE,,,
20240723_BB5,BB,5,2021-06-29,2024-07-23,3y 0m,36.8,M,English,N,N,,Y,0,BB-L-02; on doc: BB-L-05,GM,CAT,,,FALSE,,,
20240723_BB6,BB,6,2020-04-22,2024-07-23,4y 3m,51.03333333,F,English,N,Y,,Y,1,BB-JS-01,GM,CAT,,practice annotation on 1/Aug,FALSE,,,
20240724_FL1,FL,1,2021-10-18,2024-07-24,2y 9m,33.2,M,English,N,Y,Y,Y,0,FL-CC-01,VT,na,P,"Didnt play at all, quit before give N",,,,
20240724_FL2,FL,2,2021-06-17,2024-07-24,3y 1m,37.23333333,M,English,N,N,N,N,0,FL-RC-02,VT,na,Q,Quit either before give N or during ,,,,
20240724_FL3,FL,3,2020-05-27,2024-07-24,4y 1m,49.9,F,English,N,Y,Y,Y,1,FL-N-03,VT,AND,,,,,,
20240724_FL4,FL,4,2020-08-17,2024-07-24,3y 11m,47.23333333,F,English,N,N,N,N,0,FL-G-04,VT,AND,,most likely and condition,,,,
20240724_FL5,FL,5,2020-01-27,2024-07-24,4y 5m,53.9,F,English,N,Y,N,Y,1,FL-C-05,VT,na,Q,Quit,,,,
20240724_FL6,FL,6,2019-07-22,2024-07-24,5y 0m,60.06666667,M,English,French,Y,Y,Y,1,FL-IH-06,VT,na,,,,,,
20240724_FL7,FL,7,2020-12-15,2024-07-24,3y 7m,43.3,M,English,Vietnamese,Y,Y,N,1,FL-K-07,VT,AND,,,,,,
20240724_FL8,FL,8,2020-09-29,2024-07-24,3y 9m,45.83333333,F,English,N,Y,Y,N,1,FL-SS-08,VT,AND,,data on back of consent form; didn't pass training,FALSE,,,digitize from notes
20240727_FL1,FL,1,2020-06-27,2024-07-27,4y 1m,49,F,English,French,Y,Y,Y,1,FL-A-01,VT,AND,,,,,,
20240727_FL2,FL,2,2019-12-03,2024-07-27,4y 7m,55.8,F,English,N,Y,Y,Y,1,FL-KG-02,LM,AND,,,,,,
20240727_FL3,FL,3,2018-11-05,2024-07-27,5y 8m,68.73333333,M,English,N,Y,Y,Y,1,FL-T-03,VT,AND,,,,,,
20240727_FL4,FL,4,2020-07-07,2024-07-27,4y 0m,48.66666667,F,English,Y,Y,Y,Y,1,FL-I-04,LM,AND,,,,,,
20240727_FL5,FL,5,2018-09-12,2024-07-27,5y 10m,70.5,M,English,N,N,N, ,0,FL-P-05,LM ,AND,,,,,,
20240727_FL6,FL,6,2020-06-10,2024-07-27,4y 1m,49.56666667,M,English,Y,Y,Y,Y,1,FL-RG-06,VT,na,E,Parent interference,,,,
20240727_FL7,FL,7,2024-06-04,2024-07-27,,,M,English,N/A,N,N,N,0,FL-S-07,LM or VT,na,Q,Quit during practice,,,,
20240730_FL1,FL,1,2021-03-08,2024-07-30,3y 4m,40.73333333,F,English,N,Y,Y,N,1,FL-I-01,RA,CAT,,,,zogi2; zogi1; zozo1; make_zo; zozo2,,
20240730_FL2,FL,2,2020-09-19,2024-07-30,3y 10m,46.36666667,F,English,N,Y,Y,N,1,FL-H-02,LM,na,,Quit,,,,
20240730_FL3,FL,3,2020-02-03,2024-07-30,4y 5m,53.9,M,English,Urdu,Y,Y,N,1,FL-Z-03,LM,AND,,,,zogi2; zogi1; zogi3; zozo1; zozo3; zozo2,,
20240730_MOC1,MOC,1,2019-04-26,2024-07-30,5y 3m,63.13333333,M,English,Y,Y,Y,N,1,MOC2-DC-18,GM,CAT,,,,,,
20240730_MOC2,MOC,2,04/26/2019,2024-07-30,5y 3m,63.13333333,M,English,Y,Y,Y,N,1,MOC2-CT-14,GM,CAT,,transformers shirt,,,,
20240730_MOC3,MOC,3,2019-07-21,2024-07-30,5y 0m,60.3,M,English,Y,Y,Y,N,1,MOC2-GM-01,GM,CAT,,spiderman shirt,,,,
20240730_MOC4,MOC,4,2020-10-05,2024-07-30,3y 9m,45.83333333,F,English,N,N,N,Y,0,MOC2-GM-0,GM,na,E,,,,,
20240731_FL1,FL,1,2019-01-19,2024-07-31,5y 6m,66.4,M,English,N,N,N,N,0,FL-C-01,RA,CAT,,no notes,FALSE,,,
20240731_FL2,FL,2,2019-01-30,2024-07-31,5y 6m,66,F,English,N,Y,Y,Y,1,FL-SS-02,VT,AND,,,,,,
20240803_FL1,FL,1,2019-11-11,2024-08-03,4y 8m,56.73333333,M,English,N,Y,Y,Y,1,FL-KS-01,VT,AND,,,,,,
20240803_FL2,FL,2,2021-06-05,2024-08-03,3y 1m,37.93333333,M,English,N,Y,Y,Y,0,FL-KS-02,VT,na,,Signed consent form but didn't play,,,,
20240803_FL3,FL,3,2019-05-30,2024-08-03,5y 2m,62.1,M,English,N,MOC2-Y-N,Y,Y,1,FL-KT-03,VT,AND,,,,,,
20240803_FL4,FL,4,2021-03-15,2024-08-03,3y 4m,40.6,M,English,N,Y,Y,Y,1,FL-S-04,VT,CAT,,,,,,
20240803_FL5,FL,5,2020-04-29,2024-08-03,4y 3m,51.13333333,M,English,N,N,N,N,0,FL-M-05,VT,na,,Quit,,,,
20240803_FL6,FL,6,2021-03-11,2024-08-03,3y 4m,40.73333333,F,Spanish,English,N,N,N,0,FL-C-06,VT,na,,Quit after give N=7,,,,
20240806_FL1,FL,1,2020-07-31,2024-08-06,4y 0m,48.2,M,Spanish,English(basic),Y,Y,Y,1,FL-JG-01,RA,CAT,,,,,,
20240806_FL2,FL,2,2019-08-14,2024-08-06,4y 11m,59.73333333,M,English,N,Y,Y,Y,1,FL-M-02,LM,CAT,,,,,,
20240806_FL3,FL,3,unknown,2024-08-06,4,,M,English,N,Y,Y,N,1,FL-J-03,RA,CAT,,"They were 4 years old, so between 4:0 and 4:12",,,,
20240806_FL4,FL,4,2019-10-14,2024-08-06,4y 9m,57.73333333,F,English,Spanish,Y,Y,Y,2,FL-AY-04,LM,AND,,,,,,
20240806_FL5,FL,5,2020-04-08,2024-08-06,4y 3m,51.93333333,M,English,N,Y,Y,N,0,FL-LG-05,RA,CAT,,,,,,
20240806_FL6,FL,6,2020-03-18,2024-08-06,4y 4m,52.6,M,English,N,Y,Y,Y,1,FL-C-06,LM,AND,,,,,,
20240807_FL1,FL,1,2018-11-13,2024-08-07,5y 8m,68.8,F,English,N,Y,Y,Y,1,FL-F-01,VT,CAT,,practice annotation on 8/Aug,,,,
20240807_FL2,FL,2,2019-06-10,2024-08-07,5y 1m,61.9,F,English,N,Y,Y,N,1,FL-S-02,RA,CAT,,,,,,
20240807_FL3,FL,3,2019-07-19,2024-08-07,5y 0m,60.6,F,English,N,Y,Y,Y,1,FL-EG-03,VT,CAT,,,,,,
20240810_FL1,FL,1,2018-11-12,2024-08-10,5y 8m,68.93333333,F,English,Spanish,Y,Y,Y,1,FL-VM-01,VT,CAT,,,,,,
20240810_FL2,FL,2,2020-03-10,2024-08-10,4y 5m,53,M,English,N,Y,Y,Y,1,FL-GC-02,VT,AND,,,,,,
20240810_FL3,FL,3,2019-07-09,2024-08-10,5y 1m,61.03333333,M,English,N,Y,Y,Y,1,FL-AK-03,VT,CAT,,,,,,
20240810_FL4,FL,4,2020-11-02,2024-08-10,3y 9m,45.26666667,M,English,N,N,N,N,0,FL-K-04,VT,CAT,,may be stuck on ipad,,,,
20240810_FL5,FL,5,2019-07-01,2024-08-10,5y 1m,61.3,M,English,N,Y,Y,Y,1,FL-SK-05,VT,AND,,,,,,
20240810_FL6,FL,6,2021-06-10,2024-08-10,3y 2m,38,M,English,Y,Y,Y,Y,1,FL-MA-06,VT,na,,quit,,,,
20240810_FL7,FL,7,2019-03-19,2024-08-10,5y 4m,64.7,F,English,N,Y,Y,Y,0,FL-EN-07,VT,AND,,,,,,
20240813_CT1,CT,1,2022-01-10,2024-08-13,2y 7m,31.1,M,English,N,Y,Y,Y,0,CT-AE-26,GM,CAT,,"serious at first, then checked out",,,,
20240813_CT2,CT,2,2021-09-04,2024-08-13,2y 11m,35.3,F,English,N,Y,N,Y,0,CT-JS-23,GM,CAT,,not really serious after starting to get distracted,,,,
20240813_CT3,CT,3,2021-03-27,2024-08-13,3y 4m,40.53333333,F,English,N,Y,Y,N,0,CT-LM-20,GM,CAT,,"took it seriously; didn't learn the words, wanted constant feedback",,,,
20240813_CT4,CT,4,2020-02-29,2024-08-13,4y 5m,53.43333333,M,English,N,N,N,N,0,CT-E-22,GM,CAT,,"trying, not understanding; constantly going on tangents",,,,
20240813_CT5,CT,5,2021-06-18,2024-08-13,3y 1m,37.83333333,M,English,N,Y,Y,Y,0,CT-DKR-17,GM,CAT,,not serious,,,,
20240813_CT6,CT,6,2020-09-19,2024-08-13,3y 10m,46.8,F,English,N,Y,Y,Y,0,CT-RP-25,GM,CAT,,"seemed to be trying, not understanding",,,,
20240813_CT7,CT,7,2020-08-04,2024-08-13,4y 0m,48.3,F,English,N,Y,Y,Y,0,CT-MG-14,GM,CAT,,"data csv in two pieces (give-n, and main task)",,,,
20240813_FL1,FL,1,2020-03-04,2024-08-13,4y 5m,53.3,M,,Kurdish,N,N,N,0,FL-A-01,RA,CAT,,audio available,,,,
20240813_FL2,FL,2,2020-10-30,2024-08-13,3y 9m,45.43333333,M,,Kurdish,N,N,N,0,FL-R-02,RA,CAT,,,,,,
20240814_FL1,FL,1,2019-10-31,2024-08-14,4y 9m,57.46666667,F,English,N,Y,Y,Y,1,FL-M-01,VT,AND,,,,,,
20240814_FL2,FL,2,2021-04-21,2024-08-14,3y 3m,39.76666667,M,English,N,N,N,N,0,FL-OM-02,RA,na,,,,,,
20240814_FL3,FL,3,2019-02-01,2024-08-14,5y 6m,66.43333333,M,English,N,N,N,N,0,FL-AM-03,RA,CAT,,,,,,
20240814_FL4,FL,4,2019-08-30,2024-08-14,4y 11m,59.46666667,F,English,N,Y,Y,Y,1,FL-VN-04,RA,AND,,,,,,
20240817_FL1,FL,1,2020-05-30,2024-08-17,4y 2m,50.56666667,F,English,N,Y,Y,Y,1,FL-E-01,VT,AND,,autism,,,,
20240817_FL2,FL,2,2020-08-17,2024-08-17,4y 0m,48,F,English,N,Y,Y,N,1,FL-EE-02,VT,AND,,,,,,
20240817_FL3,FL,3,2019-03-12,2024-08-17,5y 5m,65.16666667,F,English,Spanish,Y,Y,Y,1,FL-JL-03,VT,AND,,,,,,
20240817_FL4,FL,4,2019-07-27,2024-08-17,5y 0m,60.66666667,M,English,N,N,N,N,0,FL-I-04,LM,AND,,,,,,
20240821_FL1,FL,1,2019-07-21,2024-08-21,5y 1m,61,F,English,Cantonese,Y,Y,N,1,FL-KM-01,VT,AND,,,,,,
20240821_FL2,FL,2,2021-02-15,2024-08-21,3y 6m,42.2,F,English,N,Y,Y,Y,1,FL-S-02,VT,AND,,,,,,
20240821_FL3,FL,3,2020-08-21,2024-08-21,4y 0m,48,M,English,N,Y,Y,Y,1,FL-T-03,VT,AND,,,,,,
20240821_FL4,FL,4,2018-10-13,2024-08-21,5y 10m,70.26666667,M,English,N,Y,Y,N,1,FL-G-04,VT,AND,,,,,,
20240821_FL5,FL,5,2020-03-12,2024-08-21,4y 5m,53.3,M,English,Chinese,Y,Y,Y,1,FL-PW-05,VT,AND,,,,,,
20240821_FL6,FL,6,2020-08-15,2024-08-21,4y 0m,48.2,F,English,Mandarin,N,N,Y,0,FL-A-06,VT,AND,,,,,,
20240824_FL1,FL,1,2020-05-28,2024-08-24,4y 2m,50.86666667,M,English,N,Y,Y,Y,1,FL-M-01,VT,na,,quit,,,,
20240824_FL2,FL,2,2020-03-16,2024-08-24,4y 5m,53.26666667,M,English,N,Y,Y,Y,1,FL_A_02,VT,AND,,,,,,
20240824_FL3,FL,3,2017-10-06,2024-08-24,6y 10m,82.6,M,English,N,Y,Y,Y,0,FL_RZ-03,VT,,,Ownership exp. #1,,,,
20240824_FL4,FL,4,2019-07-16,2024-08-24,5y 1m,61.26666667,F,English,N,N,N,Y,0,FL_Z_04,VT,CAT,,,,,,
20240824_FL5,FL,5,2018-07-26,2024-08-24,6y 0m,72.93333333,M,English,Chinese,N,N,N,0,FL-OM-05,VT,,,Ownership exp. #1,,,,
20240824_FL6,FL,6,2017-12-26,2024-08-24,6y 7m,79.93333333,M,Spanish,English,Y,Y,Y,0,FL-M-06,VT,,,Ownership exp. #1,,,,
20240824_FL7,FL,7,2017-11-12,2024-08-24,6y 9m,81.4,M,English,N,N,N,Y,0,FL-H-07,VT,,,Ownership exp. #2,,,,
20240824_FL8,FL,8,,2024-08-24,,,,,,,,,,FL-E-08,VT,,,Eila,,,,
20240824_FL9,FL,9,,2024-08-24,,,,,,,,,,FL-D-09,VT,,,Dana,,,,
20240824_FL10,FL,10,,2024-08-24,,,,,,,,,,FL-D-10,VT,,,Damien,,,,
20240824_FL11,FL,11,,2024-08-24,,,,,,,,,,FL-K-11,VT,,,Kiera (Ownership exp. #1),,,,
20240827_KA1,KA,1,2020-08-12,2024-08-27,4y 0m,48.5,M,English,Spanish,Y,Y,Y,1,KA-JC-03,GM,CAT,,,,,,
20240827_KA2,KA,2,2019-09-20,2024-08-27,4y 11m,59.23333333,M,English,N,Y,Y,N,1,KA-IP-07,GM,CAT,,,,,,
20240827_KA3,KA,3,2021-07-02,2024-08-27,3y 1m,37.83333333,M,English,?,N, N,N,0,KA-J-05,GM,AND,,,,,,
20240827_KA4,KA,4,2020-11-27,2024-08-27,3y 9m,45,F,English,N,Y,Y,Y,1,KA-AB-02,GM,CAT,,,,,,
20240827_KA5,KA,5,2019-11-07,2024-08-27,4y 9m,57.66666667,F,English,N,Y,Y,Y,1,KA-A-04,GM,CAT,,,,,,
20240827_KA6,KA,6,2020-03-19,2024-08-27,4y 5m,53.26666667,F,English,N,Y,Y,Y,1,KA-KB-01,GM,AND,,,,,,
20240827_FL1,FL,1,2021-08-27,2024-08-27,3y 0m,36,F,English,N,Y,Y,Y,0,FL-K-01,RA,CAT,,,,,,
20240827_FL2,FL,2,2020-05-05,2024-08-27,4y 3m,51.73333333,F,English,Some French,N,N,N,0,FL-C-02,RA,CAT,,,,,,
20240828_FL1,FL,1,,2024-08-28,,,,,,,,,,FL-K-01,VT,,,Kelly (Ownership exp. #1) ,,,,
20240828_FL2,FL,2,2020-07-02,2024-08-28,4y 1m,49.86666667,F,English,Y,N,N,Y,0,FL-M-02,RA,CAT,,didn't play/quit at the beginning,,,,
20240828_FL3,FL,3,2020-06-11,2024-08-28,4y 2m,50.56666667,F,English,Y,N,N,N,0,FL-KT-03,VT,CAT,,,,,,
20240828_FL4,FL,4,,2024-08-28,,,,,,,,,,FL-Z-04,VT,,,Zac (Ownership exp.),,,,
20240828_FL5,FL,5,2020-06-25,2024-08-28,4y 2m,50.1,M,English,Cantonese,Y,Y,N,1,FL-J-05,RA,CAT,,,,,,
20240828_FL6,FL,6,2017-10-13,2024-08-28,6y 10m,82.5,F,English,"Cantonese, French",Y,Y,Y,0,FL-T-06,VT,,,Ownership exp. #1 ,,,,
20240831_FL1,FL,1,2020-11-23,2024-08-31,3y 9m,45.26666667,M,English,N,N,N,N,0,FL-E-01,VT/LM,,,might quit no data,,,,
20240831_FL2,FL,2,2018-08-07,2024-08-31,6y 0m,72.8,M,US English,N,Y,Y,Y,1,FL-E-02,VT,,,Ezekiel-equal condition 1,,,,
20240831_FL3,FL,3,,2024-08-31,,,F,US English,N,Y,Y,Y,1,FL-HR-03,LM,AND,,incorrect birthday ,,,,
20240831_FL4,FL,4,2019-01-22,2024-08-31,5y 7m,67.3,F,English,N,Y,Y,N,0,FL-EW-04,VT,CAT,,,,,,
20240903_FL1,FL,1,2018-10-13,2024-09-03,5y 10m,70.66666667,F,English,N,Y,Y,Y,1,FL-E-01,RA,CAT,,,,,,
20240903_FL2,FL,2,2021-02-24,2024-09-03,3y 6m,42.3,M,English,N,Y,Y,N,1,FL-W-02,RA,na,,,,,,
20240903_FL3,FL,3,2021-02-24,2024-09-03,3y 6m,42.3,F,English,N,Y,Y,N,1,FL-D-03,RA,CAT,,,,,,
20240903_FL4,FL,4,2021-08-11,2024-09-03,3y 0m,36.73333333,M,English,N,Y,Y,Y,1,FL-S-04,RA,CAT,,,,,,
20240903_FL5,FL,5,2020-10-09,2024-09-03,3y 10m,46.8,F,English,N,Y,Y,Y,1,FL-L-05,RA,CAT,,,,,,
20240903_FL6,FL,6,2021-03-30,2024-09-03,3y 5m,41.1,M,English,N,N,N,Y,0,FL-D-06,RA,CAT,,,,,,
20240903_FL7,FL,7,2021-02-26,2024-09-03,3y 6m,42.23333333,M,English,N,N,N,N,0,FL-A-07,RA,na,,,,,,
20240904_FL1,FL,1,,2024-09-04,,,F,,,Y,Y,N/A?,1,,RA,AND,,Said she was 5 years old ,,,,
20240904_FL2,FL,2,2019-03-27,2024-09-04,5y 5m,65.23333333,F,English,N,Y,Y,N/A?,1,FL-R-02,VT,AND,,,,,,
20240904_FL3,FL,3,2020-12-06,2024-09-04,3y 8m,44.93333333,M,English,N,N,N,N/A?,0,FL-MJ-03,RA,N/A,,Quit during demo,,,,
20240904_FL4,FL,4,2019-12-21,2024-09-04,4y 8m,56.43333333,M,English,N,N,N,N/A?,0,FL-N-04,N/A,N/A,,Did not participate ,,,,
20240907_FL1,FL,1,2021-03-17,2024-09-07,3y 5m,41.66666667,M,English,N,Y,Y,N,,FL-D-01,VT,AND,,,,,,
20240907_FL2,FL,2,2018-01-04,2024-09-07,6y 8m,80.1,F,English,N,Y,Y,Y,0,FL-Z-02,VT,na,,"Ownership condition (1) - SH: is ""(1)"" the counterbalance?. COlourblind?",,,,
20240907_FL3,FL,3,,2024-09-07,,,,,,,,,,,VT,,,SH: not sure whether this kid was ownership experiment,,,,
20240907_FL4,FL,4,,2024-09-07,,,,,,,,,,,VT,,,quit during first give N,,,,
20240907_FL5,FL,5,2020-09-21,2024-09-07,3y 11m,47.53333333,F,English,N,N,N,N/A?,,FL-H-05,VT,AND,,,,,,
20240907_FL6,FL,6,,2024-09-07,,,,,,,,,2,,VT,,,quit twice!,,,,
20240907_FL7,FL,7,2021-05-30,2024-09-07,3y 3m,39.23333333,M,English,N,Y,Y,N,,FL-C-07,VT,AND,,,,,,